Team,Conf,Season,Game,Home,Away,Points,Points Against,Date
Auburn,SEC,2010,Auburn vs LSU,Auburn,LSU,24,17,2010-10-23T19:30:00.000Z
Vanderbilt,SEC,2010,Vanderbilt vs South Carolina,Vanderbilt,South Carolina,7,21,2010-10-23T23:00:00.000Z
Mississippi State,SEC,2010,Mississippi State vs UAB,Mississippi State,UAB,29,24,2010-10-23T23:00:00.000Z
Tennessee,SEC,2010,Tennessee vs Alabama,Tennessee,Alabama,10,41,2010-10-23T23:00:00.000Z
Kentucky,SEC,2010,Kentucky vs Georgia,Kentucky,Georgia,31,44,2010-10-23T23:30:00.000Z
South Carolina,SEC,2010,South Carolina vs Tennessee,South Carolina,Tennessee,38,24,2010-10-30T16:21:00.000Z
Georgia,SEC,2010,Georgia vs Florida,Georgia,Florida,31,34,2010-10-30T19:30:00.000Z
Ole Miss,SEC,2010,Ole Miss vs Auburn,Ole Miss,Auburn,31,51,2010-10-30T22:00:00.000Z
Mississippi State,SEC,2010,Mississippi State vs Kentucky,Mississippi State,Kentucky,24,17,2010-10-30T23:00:00.000Z
Arkansas,SEC,2010,Arkansas vs Vanderbilt,Arkansas,Vanderbilt,49,14,2010-10-30T23:00:00.000Z
Vanderbilt,SEC,2010,Vanderbilt vs Florida,Vanderbilt,Florida,14,55,2010-11-06T16:21:00.000Z
Kentucky,SEC,2010,Kentucky vs Charleston Southern,Kentucky,Charleston Southern,49,21,2010-11-06T16:30:00.000Z
Georgia,SEC,2010,Georgia vs Idaho State,Georgia,Idaho State,55,7,2010-11-06T16:30:00.000Z
Auburn,SEC,2010,Auburn vs Chattanooga,Auburn,Chattanooga,62,24,2010-11-06T17:00:00.000Z
LSU,SEC,2010,LSU vs Alabama,LSU,Alabama,24,21,2010-11-06T19:30:00.000Z
South Carolina,SEC,2010,South Carolina vs Arkansas,South Carolina,Arkansas,20,41,2010-11-06T23:00:00.000Z
Ole Miss,SEC,2010,Ole Miss vs Louisiana,Ole Miss,Louisiana,43,21,2010-11-06T23:00:00.000Z
Memphis,Conference USA,2010,Memphis vs Tennessee,Memphis,Tennessee,14,50,2010-11-07T00:00:00.000Z
Tennessee,SEC,2010,Tennessee vs Ole Miss,Tennessee,Ole Miss,52,14,2010-11-13T17:00:00.000Z
Kentucky,SEC,2010,Kentucky vs Vanderbilt,Kentucky,Vanderbilt,38,20,2010-11-13T17:21:00.000Z
Auburn,SEC,2010,Auburn vs Georgia,Auburn,Georgia,49,31,2010-11-13T20:30:00.000Z
Arkansas,SEC,2010,Arkansas vs UTEP,Arkansas,UTEP,58,21,2010-11-14T00:00:00.000Z
LSU,SEC,2010,LSU vs UL Monroe,LSU,UL Monroe,51,0,2010-11-14T00:00:00.000Z
Alabama,SEC,2010,Alabama vs Mississippi State,Alabama,Mississippi State,30,10,2010-11-14T00:15:00.000Z
Florida,SEC,2010,Florida vs South Carolina,Florida,South Carolina,14,36,2010-11-14T00:15:00.000Z
Alabama,SEC,2010,Alabama vs Georgia State,Alabama,Georgia State,63,7,2010-11-19T00:30:00.000Z
South Carolina,SEC,2010,South Carolina vs Troy,South Carolina,Troy,69,24,2010-11-20T17:21:00.000Z
Florida,SEC,2010,Florida vs App State,Florida,App State,48,10,2010-11-20T17:30:00.000Z
LSU,SEC,2010,LSU vs Ole Miss,LSU,Ole Miss,43,36,2010-11-20T20:30:00.000Z
Mississippi State,SEC,2010,Mississippi State vs Arkansas,Mississippi State,Arkansas,31,38,2010-11-21T00:00:00.000Z
Vanderbilt,SEC,2010,Vanderbilt vs Tennessee,Vanderbilt,Tennessee,10,24,2010-11-21T00:30:00.000Z
Alabama,SEC,2010,Alabama vs Auburn,Alabama,Auburn,27,28,2010-11-26T19:30:00.000Z
Tennessee,SEC,2010,Tennessee vs Kentucky,Tennessee,Kentucky,24,14,2010-11-27T17:21:00.000Z
Arkansas,SEC,2010,Arkansas vs LSU,Arkansas,LSU,31,23,2010-11-27T20:30:00.000Z
Florida State,ACC,2010,Florida State vs Florida,Florida State,Florida,31,7,2010-11-27T20:30:00.000Z
Ole Miss,SEC,2010,Ole Miss vs Mississippi State,Ole Miss,Mississippi State,23,31,2010-11-28T00:00:00.000Z
Clemson,ACC,2010,Clemson vs South Carolina,Clemson,South Carolina,7,29,2010-11-28T00:00:00.000Z
Vanderbilt,SEC,2010,Vanderbilt vs Wake Forest,Vanderbilt,Wake Forest,13,34,2010-11-28T00:30:00.000Z
Georgia,SEC,2010,Georgia vs Georgia Tech,Georgia,Georgia Tech,42,34,2010-11-28T00:45:00.000Z
South Carolina,SEC,2010,South Carolina vs Auburn,South Carolina,Auburn,17,56,2010-12-04T21:00:00.000Z
Utah,Pac-12,2011,Utah vs Montana State,Utah,Montana State,27,10,2011-09-02T00:00:00.000Z
Memphis,Conference USA,2011,Memphis vs Mississippi State,Memphis,Mississippi State,14,59,2011-09-02T00:00:00.000Z
Western Kentucky,Sun Belt,2011,Western Kentucky vs Kentucky,Western Kentucky,Kentucky,3,14,2011-09-02T01:15:00.000Z
Arizona State,Pac-12,2011,Arizona State vs UC Davis,Arizona State,UC Davis,48,14,2011-09-02T02:00:00.000Z
Auburn,SEC,2011,Auburn vs Utah State,Auburn,Utah State,42,38,2011-09-03T16:00:00.000Z
Alabama,SEC,2011,Alabama vs Kent State,Alabama,Kent State,48,7,2011-09-03T16:20:00.000Z
Houston,Conference USA,2011,Houston vs UCLA,Houston,UCLA,38,34,2011-09-03T19:30:00.000Z
USC,Pac-12,2011,USC vs Minnesota,USC,Minnesota,19,17,2011-09-03T19:30:00.000Z
Oregon State,Pac-12,2011,Oregon State vs Sacramento State,Oregon State,Sacramento State,28,29,2011-09-03T20:00:00.000Z
Ole Miss,SEC,2011,Ole Miss vs BYU,Ole Miss,BYU,13,14,2011-09-03T20:45:00.000Z
Stanford,Pac-12,2011,Stanford vs San José State,Stanford,San José State,57,3,2011-09-03T21:00:00.000Z
Washington State,Pac-12,2011,Washington State vs Idaho State,Washington State,Idaho State,64,21,2011-09-03T21:00:00.000Z
Tennessee,SEC,2011,Tennessee vs Montana,Tennessee,Montana,42,16,2011-09-03T22:00:00.000Z
California,Pac-12,2011,California vs Fresno State,California,Fresno State,36,21,2011-09-03T23:00:00.000Z
Florida,SEC,2011,Florida vs Florida Atlantic,Florida,Florida Atlantic,41,3,2011-09-03T23:00:00.000Z
South Carolina,SEC,2011,South Carolina vs East Carolina,South Carolina,East Carolina,56,37,2011-09-03T23:00:00.000Z
Washington,Pac-12,2011,Washington vs Eastern Washington,Washington,Eastern Washington,30,27,2011-09-03T23:00:00.000Z
Arkansas,SEC,2011,Arkansas vs Missouri State,Arkansas,Missouri State,51,7,2011-09-03T23:00:00.000Z
Vanderbilt,SEC,2011,Vanderbilt vs Elon,Vanderbilt,Elon,45,14,2011-09-03T23:30:00.000Z
Georgia,SEC,2011,Georgia vs Boise State,Georgia,Boise State,21,35,2011-09-04T00:00:00.000Z
LSU,SEC,2011,LSU vs Oregon,LSU,Oregon,40,27,2011-09-04T00:00:00.000Z
Arizona,Pac-12,2011,Arizona vs Northern Arizona,Arizona,Northern Arizona,41,10,2011-09-04T02:00:00.000Z
Hawai'i,Western Athletic,2011,Hawai'i vs Colorado,Hawai'i,Colorado,34,17,2011-09-04T02:15:00.000Z
Oklahoma State,Big 12,2011,Oklahoma State vs Arizona,Oklahoma State,Arizona,37,14,2011-09-09T00:00:00.000Z
Arizona State,Pac-12,2011,Arizona State vs Missouri,Arizona State,Missouri,37,30,2011-09-10T02:30:00.000Z
Kentucky,SEC,2011,Kentucky vs Central Michigan,Kentucky,Central Michigan,27,13,2011-09-10T16:00:00.000Z
Wisconsin,Big Ten,2011,Wisconsin vs Oregon State,Wisconsin,Oregon State,35,0,2011-09-10T16:00:00.000Z
Auburn,SEC,2011,Auburn vs Mississippi State,Auburn,Mississippi State,41,34,2011-09-10T16:21:00.000Z
Washington,Pac-12,2011,Washington vs Hawai'i,Washington,Hawai'i,40,32,2011-09-10T19:30:00.000Z
Penn State,Big Ten,2011,Penn State vs Alabama,Penn State,Alabama,11,27,2011-09-10T19:30:00.000Z
Duke,ACC,2011,Duke vs Stanford,Duke,Stanford,14,44,2011-09-10T19:30:00.000Z
Oregon,Pac-12,2011,Oregon vs Nevada,Oregon,Nevada,69,20,2011-09-10T19:30:00.000Z
Tennessee,SEC,2011,Tennessee vs Cincinnati,Tennessee,Cincinnati,45,23,2011-09-10T19:30:00.000Z
Colorado,Pac-12,2011,Colorado vs California,Colorado,California,33,36,2011-09-10T19:30:00.000Z
Georgia,SEC,2011,Georgia vs South Carolina,Georgia,South Carolina,42,45,2011-09-10T20:30:00.000Z
Washington State,Pac-12,2011,Washington State vs UNLV,Washington State,UNLV,59,7,2011-09-10T21:00:00.000Z
Ole Miss,SEC,2011,Ole Miss vs Southern Illinois,Ole Miss,Southern Illinois,42,24,2011-09-10T22:00:00.000Z
Arkansas,SEC,2011,Arkansas vs New Mexico,Arkansas,New Mexico,52,3,2011-09-10T23:00:00.000Z
Florida,SEC,2011,Florida vs UAB,Florida,UAB,39,0,2011-09-10T23:00:00.000Z
Vanderbilt,SEC,2011,Vanderbilt vs UConn,Vanderbilt,UConn,24,21,2011-09-10T23:30:00.000Z
USC,Pac-12,2011,USC vs Utah,USC,Utah,23,14,2011-09-10T23:30:00.000Z
LSU,SEC,2011,LSU vs Northwestern State,LSU,Northwestern State,49,3,2011-09-11T00:00:00.000Z
UCLA,Pac-12,2011,UCLA vs San José State,UCLA,San José State,27,17,2011-09-11T02:00:00.000Z
Mississippi State,SEC,2011,Mississippi State vs LSU,Mississippi State,LSU,6,19,2011-09-16T00:00:00.000Z
Clemson,ACC,2011,Clemson vs Auburn,Clemson,Auburn,38,24,2011-09-17T16:00:00.000Z
Vanderbilt,SEC,2011,Vanderbilt vs Ole Miss,Vanderbilt,Ole Miss,30,7,2011-09-17T16:21:00.000Z
Georgia,SEC,2011,Georgia vs Coastal Carolina,Georgia,Coastal Carolina,59,0,2011-09-17T17:00:00.000Z
Colorado,Pac-12,2011,Colorado vs Colorado State,Colorado,Colorado State,28,14,2011-09-17T17:30:00.000Z
Oregon,Pac-12,2011,Oregon vs Missouri State,Oregon,Missouri State,56,7,2011-09-17T19:30:00.000Z
Florida,SEC,2011,Florida vs Tennessee,Florida,Tennessee,33,23,2011-09-17T19:30:00.000Z
Nebraska,Big Ten,2011,Nebraska vs Washington,Nebraska,Washington,51,38,2011-09-17T19:30:00.000Z
UCLA,Pac-12,2011,UCLA vs Texas,UCLA,Texas,20,49,2011-09-17T19:30:00.000Z
California,Pac-12,2011,California vs Presbyterian,California,Presbyterian,63,12,2011-09-17T21:30:00.000Z
South Carolina,SEC,2011,South Carolina vs Navy,South Carolina,Navy,24,21,2011-09-17T22:00:00.000Z
San Diego State,Mountain West,2011,San Diego State vs Washington State,San Diego State,Washington State,42,24,2011-09-17T22:30:00.000Z
Illinois,Big Ten,2011,Illinois vs Arizona State,Illinois,Arizona State,17,14,2011-09-17T23:00:00.000Z
Kentucky,SEC,2011,Kentucky vs Louisville,Kentucky,Louisville,17,24,2011-09-17T23:00:00.000Z
Arkansas,SEC,2011,Arkansas vs Troy,Arkansas,Troy,38,28,2011-09-17T23:30:00.000Z
Alabama,SEC,2011,Alabama vs North Texas,Alabama,North Texas,41,0,2011-09-17T23:30:00.000Z
USC,Pac-12,2011,USC vs Syracuse,USC,Syracuse,38,17,2011-09-18T00:00:00.000Z
BYU,FBS Independents,2011,BYU vs Utah,BYU,Utah,10,54,2011-09-18T01:15:00.000Z
Arizona,Pac-12,2011,Arizona vs Stanford,Arizona,Stanford,10,37,2011-09-18T02:45:00.000Z
Ole Miss,SEC,2011,Ole Miss vs Georgia,Ole Miss,Georgia,13,27,2011-09-24T16:21:00.000Z
Alabama,SEC,2011,Alabama vs Arkansas,Alabama,Arkansas,38,14,2011-09-24T19:30:00.000Z
Washington,Pac-12,2011,Washington vs California,Washington,California,31,23,2011-09-24T19:30:00.000Z
Oregon State,Pac-12,2011,Oregon State vs UCLA,Oregon State,UCLA,19,27,2011-09-24T19:30:00.000Z
Ohio State,Big Ten,2011,Ohio State vs Colorado,Ohio State,Colorado,37,17,2011-09-24T19:30:00.000Z
Mississippi State,SEC,2011,Mississippi State vs Louisiana Tech,Mississippi State,Louisiana Tech,26,20,2011-09-24T23:00:00.000Z
South Carolina,SEC,2011,South Carolina vs Vanderbilt,South Carolina,Vanderbilt,21,3,2011-09-24T23:00:00.000Z
Kentucky,SEC,2011,Kentucky vs Florida,Kentucky,Florida,10,48,2011-09-24T23:00:00.000Z
Auburn,SEC,2011,Auburn vs Florida Atlantic,Auburn,Florida Atlantic,30,14,2011-09-24T23:00:00.000Z
West Virginia,Big East,2011,West Virginia vs LSU,West Virginia,LSU,21,47,2011-09-25T00:00:00.000Z
Arizona State,Pac-12,2011,Arizona State vs USC,Arizona State,USC,43,22,2011-09-25T02:15:00.000Z
Arizona,Pac-12,2011,Arizona vs Oregon,Arizona,Oregon,31,56,2011-09-25T02:15:00.000Z
Arkansas,SEC,2011,Arkansas vs Texas A&M,Arkansas,Texas A&M,42,38,2011-10-01T16:00:00.000Z
Georgia,SEC,2011,Georgia vs Mississippi State,Georgia,Mississippi State,24,10,2011-10-01T16:00:00.000Z
LSU,SEC,2011,LSU vs Kentucky,LSU,Kentucky,35,7,2011-10-01T16:21:00.000Z
Tennessee,SEC,2011,Tennessee vs Buffalo,Tennessee,Buffalo,41,10,2011-10-01T16:30:00.000Z
USC,Pac-12,2011,USC vs Arizona,USC,Arizona,48,41,2011-10-01T19:30:00.000Z
Colorado,Pac-12,2011,Colorado vs Washington State,Colorado,Washington State,27,31,2011-10-01T19:30:00.000Z
South Carolina,SEC,2011,South Carolina vs Auburn,South Carolina,Auburn,13,16,2011-10-01T19:30:00.000Z
Utah,Pac-12,2011,Utah vs Washington,Utah,Washington,14,31,2011-10-01T23:00:00.000Z
Florida,SEC,2011,Florida vs Alabama,Florida,Alabama,10,38,2011-10-02T00:00:00.000Z
Fresno State,Western Athletic,2011,Fresno State vs Ole Miss,Fresno State,Ole Miss,28,38,2011-10-02T01:15:00.000Z
Arizona State,Pac-12,2011,Arizona State vs Oregon State,Arizona State,Oregon State,35,20,2011-10-02T02:30:00.000Z
Stanford,Pac-12,2011,Stanford vs UCLA,Stanford,UCLA,45,19,2011-10-02T02:30:00.000Z
Oregon,Pac-12,2011,Oregon vs California,Oregon,California,43,15,2011-10-07T01:00:00.000Z
UAB,Conference USA,2011,UAB vs Mississippi State,UAB,Mississippi State,3,21,2011-10-08T16:00:00.000Z
South Carolina,SEC,2011,South Carolina vs Kentucky,South Carolina,Kentucky,54,3,2011-10-08T16:21:00.000Z
Utah,Pac-12,2011,Utah vs Arizona State,Utah,Arizona State,14,35,2011-10-08T19:30:00.000Z
LSU,SEC,2011,LSU vs Florida,LSU,Florida,41,11,2011-10-08T19:30:00.000Z
Oregon State,Pac-12,2011,Oregon State vs Arizona,Oregon State,Arizona,37,27,2011-10-08T19:30:00.000Z
Tennessee,SEC,2011,Tennessee vs Georgia,Tennessee,Georgia,12,20,2011-10-08T23:00:00.000Z
Arkansas,SEC,2011,Arkansas vs Auburn,Arkansas,Auburn,38,14,2011-10-08T23:00:00.000Z
Alabama,SEC,2011,Alabama vs Vanderbilt,Alabama,Vanderbilt,34,0,2011-10-08T23:00:00.000Z
Stanford,Pac-12,2011,Stanford vs Colorado,Stanford,Colorado,48,7,2011-10-08T23:30:00.000Z
UCLA,Pac-12,2011,UCLA vs Washington State,UCLA,Washington State,28,25,2011-10-09T02:30:00.000Z
California,Pac-12,2011,California vs USC,California,USC,9,30,2011-10-14T01:00:00.000Z
Pittsburgh,Big East,2011,Pittsburgh vs Utah,Pittsburgh,Utah,14,26,2011-10-15T16:00:00.000Z
Mississippi State,SEC,2011,Mississippi State vs South Carolina,Mississippi State,South Carolina,12,14,2011-10-15T16:21:00.000Z
Tennessee,SEC,2011,Tennessee vs LSU,Tennessee,LSU,7,38,2011-10-15T19:30:00.000Z
Washington,Pac-12,2011,Washington vs Colorado,Washington,Colorado,52,24,2011-10-15T19:30:00.000Z
Oregon State,Pac-12,2011,Oregon State vs BYU,Oregon State,BYU,28,38,2011-10-15T20:00:00.000Z
Ole Miss,SEC,2011,Ole Miss vs Alabama,Ole Miss,Alabama,7,52,2011-10-15T22:00:00.000Z
Auburn,SEC,2011,Auburn vs Florida,Auburn,Florida,17,6,2011-10-15T23:00:00.000Z
Vanderbilt,SEC,2011,Vanderbilt vs Georgia,Vanderbilt,Georgia,28,33,2011-10-15T23:00:00.000Z
Washington State,Pac-12,2011,Washington State vs Stanford,Washington State,Stanford,14,44,2011-10-15T23:30:00.000Z
Oregon,Pac-12,2011,Oregon vs Arizona State,Oregon,Arizona State,41,27,2011-10-16T02:15:00.000Z
Arizona,Pac-12,2011,Arizona vs UCLA,Arizona,UCLA,48,12,2011-10-21T01:00:00.000Z
Kentucky,SEC,2011,Kentucky vs Jacksonville State,Kentucky,Jacksonville State,38,14,2011-10-22T16:00:00.000Z
Ole Miss,SEC,2011,Ole Miss vs Arkansas,Ole Miss,Arkansas,24,29,2011-10-22T16:21:00.000Z
Colorado,Pac-12,2011,Colorado vs Oregon,Colorado,Oregon,2,45,2011-10-22T19:30:00.000Z
LSU,SEC,2011,LSU vs Auburn,LSU,Auburn,45,10,2011-10-22T19:30:00.000Z
California,Pac-12,2011,California vs Utah,California,Utah,34,10,2011-10-22T23:00:00.000Z
Vanderbilt,SEC,2011,Vanderbilt vs Army,Vanderbilt,Army,44,21,2011-10-22T23:00:00.000Z
Alabama,SEC,2011,Alabama vs Tennessee,Alabama,Tennessee,37,6,2011-10-22T23:15:00.000Z
Notre Dame,FBS Independents,2011,Notre Dame vs USC,Notre Dame,USC,17,31,2011-10-22T23:30:00.000Z
Stanford,Pac-12,2011,Stanford vs Washington,Stanford,Washington,65,21,2011-10-23T00:00:00.000Z
Washington State,Pac-12,2011,Washington State vs Oregon State,Washington State,Oregon State,21,44,2011-10-23T02:30:00.000Z
Vanderbilt,SEC,2011,Vanderbilt vs Arkansas,Vanderbilt,Arkansas,28,31,2011-10-29T16:21:00.000Z
Oregon,Pac-12,2011,Oregon vs Washington State,Oregon,Washington State,43,28,2011-10-29T19:00:00.000Z
Florida,SEC,2011,Florida vs Georgia,Florida,Georgia,20,24,2011-10-29T19:30:00.000Z
Arizona State,Pac-12,2011,Arizona State vs Colorado,Arizona State,Colorado,48,14,2011-10-29T22:30:00.000Z
Auburn,SEC,2011,Auburn vs Ole Miss,Auburn,Ole Miss,41,23,2011-10-29T23:00:00.000Z
Utah,Pac-12,2011,Utah vs Oregon State,Utah,Oregon State,27,8,2011-10-29T23:00:00.000Z
Kentucky,SEC,2011,Kentucky vs Mississippi State,Kentucky,Mississippi State,16,28,2011-10-29T23:00:00.000Z
UCLA,Pac-12,2011,UCLA vs California,UCLA,California,31,14,2011-10-29T23:00:00.000Z
Tennessee,SEC,2011,Tennessee vs South Carolina,Tennessee,South Carolina,3,14,2011-10-29T23:15:00.000Z
USC,Pac-12,2011,USC vs Stanford,USC,Stanford,48,56,2011-10-30T00:00:00.000Z
Washington,Pac-12,2011,Washington vs Arizona,Washington,Arizona,42,31,2011-10-30T02:30:00.000Z
Colorado,Pac-12,2011,Colorado vs USC,Colorado,USC,17,42,2011-11-05T01:00:00.000Z
Florida,SEC,2011,Florida vs Vanderbilt,Florida,Vanderbilt,26,21,2011-11-05T16:21:00.000Z
Georgia,SEC,2011,Georgia vs New Mexico State,Georgia,New Mexico State,63,16,2011-11-05T16:30:00.000Z
Kentucky,SEC,2011,Kentucky vs Ole Miss,Kentucky,Ole Miss,30,13,2011-11-05T19:30:00.000Z
Oregon State,Pac-12,2011,Oregon State vs Stanford,Oregon State,Stanford,13,38,2011-11-05T19:30:00.000Z
California,Pac-12,2011,California vs Washington State,California,Washington State,30,7,2011-11-05T22:30:00.000Z
Arizona,Pac-12,2011,Arizona vs Utah,Arizona,Utah,21,34,2011-11-05T23:00:00.000Z
Tennessee,SEC,2011,Tennessee vs Middle Tennessee,Tennessee,Middle Tennessee,24,0,2011-11-05T23:00:00.000Z
Arkansas,SEC,2011,Arkansas vs South Carolina,Arkansas,South Carolina,44,28,2011-11-05T23:15:00.000Z
UCLA,Pac-12,2011,UCLA vs Arizona State,UCLA,Arizona State,29,28,2011-11-05T23:30:00.000Z
Mississippi State,SEC,2011,Mississippi State vs UT Martin,Mississippi State,UT Martin,55,17,2011-11-05T23:30:00.000Z
Alabama,SEC,2011,Alabama vs LSU,Alabama,LSU,6,9,2011-11-06T00:00:00.000Z
Washington,Pac-12,2011,Washington vs Oregon,Washington,Oregon,17,34,2011-11-06T02:30:00.000Z
South Carolina,SEC,2011,South Carolina vs Florida,South Carolina,Florida,17,12,2011-11-12T17:00:00.000Z
Vanderbilt,SEC,2011,Vanderbilt vs Kentucky,Vanderbilt,Kentucky,38,8,2011-11-12T17:21:00.000Z
Colorado,Pac-12,2011,Colorado vs Arizona,Colorado,Arizona,48,29,2011-11-12T19:30:00.000Z
Georgia,SEC,2011,Georgia vs Auburn,Georgia,Auburn,45,7,2011-11-12T20:30:00.000Z
USC,Pac-12,2011,USC vs Washington,USC,Washington,40,17,2011-11-12T20:45:00.000Z
Arkansas,SEC,2011,Arkansas vs Tennessee,Arkansas,Tennessee,49,7,2011-11-12T23:00:00.000Z
California,Pac-12,2011,California vs Oregon State,California,Oregon State,23,6,2011-11-12T23:30:00.000Z
Utah,Pac-12,2011,Utah vs UCLA,Utah,UCLA,31,6,2011-11-12T23:30:00.000Z
LSU,SEC,2011,LSU vs Western Kentucky,LSU,Western Kentucky,42,9,2011-11-13T00:00:00.000Z
Ole Miss,SEC,2011,Ole Miss vs Louisiana Tech,Ole Miss,Louisiana Tech,7,27,2011-11-13T00:30:00.000Z
Mississippi State,SEC,2011,Mississippi State vs Alabama,Mississippi State,Alabama,7,24,2011-11-13T00:45:00.000Z
Stanford,Pac-12,2011,Stanford vs Oregon,Stanford,Oregon,30,53,2011-11-13T01:00:00.000Z
Washington State,Pac-12,2011,Washington State vs Arizona State,Washington State,Arizona State,37,27,2011-11-13T03:30:00.000Z
South Carolina,SEC,2011,South Carolina vs The Citadel,South Carolina,The Citadel,41,20,2011-11-19T17:00:00.000Z
Georgia,SEC,2011,Georgia vs Kentucky,Georgia,Kentucky,19,10,2011-11-19T17:21:00.000Z
Auburn,SEC,2011,Auburn vs Samford,Auburn,Samford,35,16,2011-11-19T18:00:00.000Z
Florida,SEC,2011,Florida vs Furman,Florida,Furman,54,32,2011-11-19T18:00:00.000Z
Alabama,SEC,2011,Alabama vs Georgia Southern,Alabama,Georgia Southern,45,21,2011-11-19T19:00:00.000Z
Oregon State,Pac-12,2011,Oregon State vs Washington,Oregon State,Washington,38,21,2011-11-19T20:30:00.000Z
Arkansas,SEC,2011,Arkansas vs Mississippi State,Arkansas,Mississippi State,44,17,2011-11-19T20:30:00.000Z
Washington State,Pac-12,2011,Washington State vs Utah,Washington State,Utah,27,30,2011-11-19T22:00:00.000Z
Tennessee,SEC,2011,Tennessee vs Vanderbilt,Tennessee,Vanderbilt,27,21,2011-11-20T00:00:00.000Z
Ole Miss,SEC,2011,Ole Miss vs LSU,Ole Miss,LSU,3,52,2011-11-20T00:00:00.000Z
UCLA,Pac-12,2011,UCLA vs Colorado,UCLA,Colorado,45,6,2011-11-20T00:30:00.000Z
Oregon,Pac-12,2011,Oregon vs USC,Oregon,USC,35,38,2011-11-20T01:00:00.000Z
Arizona State,Pac-12,2011,Arizona State vs Arizona,Arizona State,Arizona,27,31,2011-11-20T02:30:00.000Z
Stanford,Pac-12,2011,Stanford vs California,Stanford,California,31,28,2011-11-20T03:15:00.000Z
LSU,SEC,2011,LSU vs Arkansas,LSU,Arkansas,41,17,2011-11-25T19:30:00.000Z
Utah,Pac-12,2011,Utah vs Colorado,Utah,Colorado,14,17,2011-11-25T20:30:00.000Z
Arizona State,Pac-12,2011,Arizona State vs California,Arizona State,California,38,47,2011-11-26T03:15:00.000Z
Georgia Tech,ACC,2011,Georgia Tech vs Georgia,Georgia Tech,Georgia,17,31,2011-11-26T17:00:00.000Z
Kentucky,SEC,2011,Kentucky vs Tennessee,Kentucky,Tennessee,10,7,2011-11-26T17:21:00.000Z
Auburn,SEC,2011,Auburn vs Alabama,Auburn,Alabama,14,42,2011-11-26T20:30:00.000Z
Oregon,Pac-12,2011,Oregon vs Oregon State,Oregon,Oregon State,49,21,2011-11-26T20:30:00.000Z
Wake Forest,ACC,2011,Wake Forest vs Vanderbilt,Wake Forest,Vanderbilt,7,41,2011-11-26T20:30:00.000Z
Arizona,Pac-12,2011,Arizona vs Louisiana,Arizona,Louisiana,45,37,2011-11-26T21:00:00.000Z
Mississippi State,SEC,2011,Mississippi State vs Ole Miss,Mississippi State,Ole Miss,31,3,2011-11-27T00:00:00.000Z
Florida,SEC,2011,Florida vs Florida State,Florida,Florida State,7,21,2011-11-27T00:00:00.000Z
Washington,Pac-12,2011,Washington vs Washington State,Washington,Washington State,38,21,2011-11-27T00:30:00.000Z
South Carolina,SEC,2011,South Carolina vs Clemson,South Carolina,Clemson,34,13,2011-11-27T00:45:00.000Z
Stanford,Pac-12,2011,Stanford vs Notre Dame,Stanford,Notre Dame,28,14,2011-11-27T01:00:00.000Z
USC,Pac-12,2011,USC vs UCLA,USC,UCLA,50,0,2011-11-27T03:00:00.000Z
Oregon,Pac-12,2011,Oregon vs UCLA,Oregon,UCLA,49,31,2011-12-03T01:00:00.000Z
LSU,SEC,2011,LSU vs Georgia,LSU,Georgia,42,10,2011-12-03T21:00:00.000Z
Vanderbilt,SEC,2012,Vanderbilt vs South Carolina,Vanderbilt,South Carolina,13,17,2012-08-30T23:00:00.000Z
Utah,Pac-12,2012,Utah vs Northern Colorado,Utah,Northern Colorado,41,0,2012-08-30T23:15:00.000Z
Rice,Conference USA,2012,Rice vs UCLA,Rice,UCLA,24,49,2012-08-30T23:30:00.000Z
BYU,FBS Independents,2012,BYU vs Washington State,BYU,Washington State,30,6,2012-08-31T02:15:00.000Z
Arizona State,Pac-12,2012,Arizona State vs Northern Arizona,Arizona State,Northern Arizona,63,6,2012-08-31T02:30:00.000Z
Tennessee,SEC,2012,Tennessee vs NC State,Tennessee,NC State,35,21,2012-08-31T23:30:00.000Z
Stanford,Pac-12,2012,Stanford vs San José State,Stanford,San José State,20,17,2012-09-01T02:00:00.000Z
Georgia,SEC,2012,Georgia vs Buffalo,Georgia,Buffalo,45,23,2012-09-01T16:00:00.000Z
California,Pac-12,2012,California vs Nevada,California,Nevada,24,31,2012-09-01T19:00:00.000Z
Florida,SEC,2012,Florida vs Bowling Green,Florida,Bowling Green,27,14,2012-09-01T19:30:00.000Z
Colorado,Pac-12,2012,Colorado vs Colorado State,Colorado,Colorado State,17,22,2012-09-01T20:00:00.000Z
Missouri,SEC,2012,Missouri vs SE Louisiana,Missouri,SE Louisiana,62,10,2012-09-01T23:00:00.000Z
Ole Miss,SEC,2012,Ole Miss vs Central Arkansas,Ole Miss,Central Arkansas,49,27,2012-09-01T23:00:00.000Z
LSU,SEC,2012,LSU vs North Texas,LSU,North Texas,41,14,2012-09-01T23:00:00.000Z
Arkansas,SEC,2012,Arkansas vs Jacksonville State,Arkansas,Jacksonville State,49,24,2012-09-01T23:00:00.000Z
Auburn,SEC,2012,Auburn vs Clemson,Auburn,Clemson,19,26,2012-09-01T23:00:00.000Z
Mississippi State,SEC,2012,Mississippi State vs Jackson State,Mississippi State,Jackson State,56,9,2012-09-01T23:00:00.000Z
USC,Pac-12,2012,USC vs Hawai'i,USC,Hawai'i,49,10,2012-09-01T23:30:00.000Z
