Team,Conf,Season,Game,Home,Away,Points,Points Against,Date
LSU,SEC,2000,LSU vs Mississippi State,LSU,Mississippi State,45,38,2000-10-21T00:00:00.000Z
Auburn,SEC,2000,Auburn vs Louisiana Tech,Auburn,Louisiana Tech,38,28,2000-10-21T00:00:00.000Z
Tennessee,SEC,2000,Tennessee vs Alabama,Tennessee,Alabama,20,10,2000-10-21T00:00:00.000Z
Mississippi State,SEC,2000,Mississippi State vs Middle Tennessee,Mississippi State,Middle Tennessee,61,35,2000-10-28T00:00:00.000Z
Ole Miss,SEC,2000,Ole Miss vs UNLV,Ole Miss,UNLV,43,40,2000-10-28T00:00:00.000Z
Alabama,SEC,2000,Alabama vs UCF,Alabama,UCF,38,40,2000-10-28T00:00:00.000Z
Auburn,SEC,2000,Auburn vs Arkansas,Auburn,Arkansas,21,19,2000-10-28T00:00:00.000Z
Florida,SEC,2000,Florida vs Georgia,Florida,Georgia,34,23,2000-10-28T00:00:00.000Z
South Carolina,SEC,2000,South Carolina vs Tennessee,South Carolina,Tennessee,14,17,2000-10-28T00:00:00.000Z
Memphis,Conference USA,2000,Memphis vs Tennessee,Memphis,Tennessee,17,19,2000-11-04T00:00:00.000Z
Vanderbilt,SEC,2000,Vanderbilt vs Florida,Vanderbilt,Florida,20,43,2000-11-04T00:00:00.000Z
LSU,SEC,2000,LSU vs Alabama,LSU,Alabama,30,28,2000-11-04T00:00:00.000Z
Arkansas,SEC,2000,Arkansas vs Ole Miss,Arkansas,Ole Miss,24,38,2000-11-04T00:00:00.000Z
Kentucky,SEC,2000,Kentucky vs Mississippi State,Kentucky,Mississippi State,17,35,2000-11-04T00:00:00.000Z
Florida,SEC,2000,Florida vs South Carolina,Florida,South Carolina,41,21,2000-11-11T00:00:00.000Z
Ole Miss,SEC,2000,Ole Miss vs LSU,Ole Miss,LSU,9,20,2000-11-11T00:00:00.000Z
Mississippi State,SEC,2000,Mississippi State vs Alabama,Mississippi State,Alabama,29,7,2000-11-11T00:00:00.000Z
Tennessee,SEC,2000,Tennessee vs Arkansas,Tennessee,Arkansas,63,20,2000-11-11T00:00:00.000Z
Kentucky,SEC,2000,Kentucky vs Vanderbilt,Kentucky,Vanderbilt,20,24,2000-11-11T00:00:00.000Z
Auburn,SEC,2000,Auburn vs Georgia,Auburn,Georgia,29,26,2000-11-11T00:00:00.000Z
Clemson,ACC,2000,Clemson vs South Carolina,Clemson,South Carolina,16,14,2000-11-18T00:00:00.000Z
Florida State,ACC,2000,Florida State vs Florida,Florida State,Florida,30,7,2000-11-18T00:00:00.000Z
Tennessee,SEC,2000,Tennessee vs Kentucky,Tennessee,Kentucky,59,20,2000-11-18T00:00:00.000Z
Mississippi State,SEC,2000,Mississippi State vs Arkansas,Mississippi State,Arkansas,10,17,2000-11-18T00:00:00.000Z
Alabama,SEC,2000,Alabama vs Auburn,Alabama,Auburn,0,9,2000-11-18T00:00:00.000Z
Georgia,SEC,2000,Georgia vs Ole Miss,Georgia,Ole Miss,32,14,2000-11-18T00:00:00.000Z
Ole Miss,SEC,2000,Ole Miss vs Mississippi State,Ole Miss,Mississippi State,45,30,2000-11-23T00:00:00.000Z
Arkansas,SEC,2000,Arkansas vs LSU,Arkansas,LSU,14,3,2000-11-24T00:00:00.000Z
Georgia,SEC,2000,Georgia vs Georgia Tech,Georgia,Georgia Tech,15,27,2000-11-25T00:00:00.000Z
Vanderbilt,SEC,2000,Vanderbilt vs Tennessee,Vanderbilt,Tennessee,26,28,2000-11-25T00:00:00.000Z
Arkansas,SEC,2001,Arkansas vs UNLV,Arkansas,UNLV,14,10,2001-08-30T23:30:00.000Z
Vanderbilt,SEC,2001,Vanderbilt vs Middle Tennessee,Vanderbilt,Middle Tennessee,28,37,2001-08-31T00:00:00.000Z
Kentucky,SEC,2001,Kentucky vs Louisville,Kentucky,Louisville,10,36,2001-09-01T16:30:00.000Z
Georgia,SEC,2001,Georgia vs Arkansas State,Georgia,Arkansas State,45,17,2001-09-01T17:00:00.000Z
Tennessee,SEC,2001,Tennessee vs Syracuse,Tennessee,Syracuse,33,9,2001-09-01T20:00:00.000Z
Auburn,SEC,2001,Auburn vs Ball State,Auburn,Ball State,30,0,2001-09-01T21:00:00.000Z
Ole Miss,SEC,2001,Ole Miss vs Murray State,Ole Miss,Murray State,49,14,2001-09-01T23:00:00.000Z
South Carolina,SEC,2001,South Carolina vs Boise State,South Carolina,Boise State,32,13,2001-09-01T23:00:00.000Z
Florida,SEC,2001,Florida vs Marshall,Florida,Marshall,49,14,2001-09-01T23:15:00.000Z
Alabama,SEC,2001,Alabama vs UCLA,Alabama,UCLA,17,20,2001-09-01T23:45:00.000Z
LSU,SEC,2001,LSU vs Tulane,LSU,Tulane,48,17,2001-09-02T00:00:00.000Z
Mississippi State,SEC,2001,Mississippi State vs Memphis,Mississippi State,Memphis,30,10,2001-09-03T23:00:00.000Z
Vanderbilt,SEC,2001,Vanderbilt vs Alabama,Vanderbilt,Alabama,9,12,2001-09-08T16:30:00.000Z
Kentucky,SEC,2001,Kentucky vs Ball State,Kentucky,Ball State,28,20,2001-09-08T17:30:00.000Z
Auburn,SEC,2001,Auburn vs Ole Miss,Auburn,Ole Miss,27,21,2001-09-08T19:30:00.000Z
Florida,SEC,2001,Florida vs UL Monroe,Florida,UL Monroe,55,6,2001-09-08T22:00:00.000Z
Georgia,SEC,2001,Georgia vs South Carolina,Georgia,South Carolina,9,14,2001-09-08T23:45:00.000Z
LSU,SEC,2001,LSU vs Utah State,LSU,Utah State,31,14,2001-09-09T00:00:00.000Z
Arkansas,SEC,2001,Arkansas vs Tennessee,Arkansas,Tennessee,3,13,2001-09-09T01:00:00.000Z
Mississippi State,SEC,2001,Mississippi State vs South Carolina,Mississippi State,South Carolina,14,16,2001-09-20T23:30:00.000Z
Kentucky,SEC,2001,Kentucky vs Florida,Kentucky,Florida,10,44,2001-09-22T16:30:00.000Z
Alabama,SEC,2001,Alabama vs Arkansas,Alabama,Arkansas,31,10,2001-09-22T19:30:00.000Z
Vanderbilt,SEC,2001,Vanderbilt vs Richmond,Vanderbilt,Richmond,28,22,2001-09-22T23:00:00.000Z
Syracuse,Big East,2001,Syracuse vs Auburn,Syracuse,Auburn,31,14,2001-09-22T23:45:00.000Z
South Carolina,SEC,2001,South Carolina vs Alabama,South Carolina,Alabama,37,36,2001-09-29T16:30:00.000Z
Kentucky,SEC,2001,Kentucky vs Ole Miss,Kentucky,Ole Miss,31,42,2001-09-29T17:30:00.000Z
Florida,SEC,2001,Florida vs Mississippi State,Florida,Mississippi State,52,0,2001-09-29T19:30:00.000Z
Georgia,SEC,2001,Georgia vs Arkansas,Georgia,Arkansas,34,23,2001-09-29T22:30:00.000Z
